Linux 6.8.0-71-generic (node0.kvsrun.utah-cs6450-pg0.utah.cloudlab.us) 	09/06/2025 	_x86_64_	(16 CPU)

02:02:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:02:45 AM     all      6.25      0.00      3.89      0.26      0.00     89.60
02:02:46 AM     all     50.63      0.00     41.99      0.00      0.00      7.38
02:02:47 AM     all     51.33      0.00     41.27      0.00      0.00      7.41
02:02:48 AM     all     51.49      0.00     40.83      0.06      0.00      7.62
02:02:49 AM     all     49.27      0.00     39.27      0.00      0.00     11.46
02:02:50 AM     all     50.47      0.00     39.44      0.00      0.00     10.09
02:02:51 AM     all     50.35      0.00     39.34      0.00      0.00     10.31
02:02:52 AM     all     49.84      0.00     39.73      0.00      0.00     10.43
02:02:53 AM     all     49.84      0.00     41.18      0.00      0.00      8.98
02:02:54 AM     all     49.84      0.00     39.39      0.00      0.00     10.77
02:02:55 AM     all     48.13      0.00     38.48      0.06      0.00     13.33
02:02:56 AM     all     49.62      0.00     38.28      0.00      0.00     12.10
02:02:57 AM     all     48.83      0.00     38.99      0.00      0.00     12.18
02:02:58 AM     all     48.83      0.00     38.48      0.00      0.00     12.70
02:02:59 AM     all     49.43      0.00     39.32      0.00      0.00     11.25
02:03:00 AM     all     48.38      0.00     38.45      0.06      0.00     13.11
02:03:01 AM     all     50.06      0.00     39.14      0.00      0.00     10.80
02:03:02 AM     all     47.63      0.00     38.11      0.00      0.00     14.26
02:03:03 AM     all     47.93      0.00     38.14      0.00      0.00     13.92
02:03:04 AM     all     46.85      0.00     36.94      0.00      0.00     16.21
02:03:05 AM     all     49.17      0.00     39.09      0.00      0.00     11.73
02:03:06 AM     all     50.41      0.00     39.07      0.00      0.00     10.52
02:03:07 AM     all     47.32      0.00     38.85      0.00      0.00     13.82
02:03:08 AM     all     49.01      0.00     39.34      0.00      0.00     11.65
02:03:09 AM     all     48.42      0.00     37.66      0.00      0.00     13.92
02:03:10 AM     all     49.21      0.00     38.19      0.00      0.00     12.60
02:03:11 AM     all     47.61      0.00     37.75      0.00      0.00     14.64
02:03:12 AM     all     49.87      0.00     37.10      0.00      0.00     13.02
02:03:13 AM     all     36.56      0.00     29.10      0.13      0.00     34.22
02:03:14 AM     all      3.07      0.00      1.57      0.00      0.00     95.36
Average:        all     45.85      0.00     36.27      0.02      0.00     17.86
