Linux 6.8.0-71-generic (node3.kvsrun.utah-cs6450-pg0.utah.cloudlab.us) 	09/06/2025 	_x86_64_	(16 CPU)

02:02:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:02:45 AM     all      5.04      0.00      2.90      0.19      0.00     91.87
02:02:46 AM     all     47.19      0.00     38.81      0.00      0.00     14.00
02:02:47 AM     all     46.40      0.00     38.16      0.00      0.00     15.44
02:02:48 AM     all     46.18      0.00     38.22      0.00      0.00     15.61
02:02:49 AM     all     45.47      0.00     37.04      0.00      0.00     17.50
02:02:50 AM     all     46.22      0.00     36.88      0.00      0.00     16.90
02:02:51 AM     all     44.60      0.00     36.49      0.00      0.00     18.91
02:02:52 AM     all     46.44      0.00     36.80      0.00      0.00     16.76
02:02:53 AM     all     46.01      0.00     36.15      0.00      0.00     17.85
02:02:54 AM     all     44.61      0.00     36.09      0.00      0.00     19.30
02:02:55 AM     all     45.42      0.00     36.19      0.00      0.00     18.39
02:02:56 AM     all     44.63      0.00     35.45      0.00      0.00     19.92
02:02:57 AM     all     44.14      0.00     34.75      0.00      0.00     21.11
02:02:58 AM     all     44.44      0.00     35.40      0.00      0.00     20.16
02:02:59 AM     all     44.95      0.00     35.32      0.00      0.00     19.73
02:03:00 AM     all     45.77      0.00     35.40      0.00      0.00     18.82
02:03:01 AM     all     45.08      0.00     36.85      0.00      0.00     18.07
02:03:02 AM     all     43.88      0.00     34.96      0.00      0.00     21.16
02:03:03 AM     all     44.43      0.00     35.04      0.00      0.00     20.53
02:03:04 AM     all     43.16      0.00     33.63      0.00      0.00     23.21
02:03:05 AM     all     43.23      0.00     35.57      0.00      0.00     21.20
02:03:06 AM     all     44.59      0.00     33.63      0.00      0.00     21.78
02:03:07 AM     all     45.83      0.00     35.75      0.00      0.00     18.42
02:03:08 AM     all     42.76      0.00     35.51      0.00      0.00     21.73
02:03:09 AM     all     43.16      0.00     33.74      0.00      0.00     23.10
02:03:10 AM     all     43.25      0.00     35.57      0.00      0.00     21.17
02:03:11 AM     all     44.24      0.00     33.76      0.00      0.00     21.99
02:03:12 AM     all     44.57      0.00     33.70      0.00      0.00     21.74
02:03:13 AM     all     32.76      0.00     25.70      0.00      0.00     41.54
02:03:14 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
Average:        all     41.55      0.00     33.06      0.01      0.00     25.38
